"Entidad federativa  
   Instituciones y sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Gobiernos Estatales,Ciudad de México,2223232,32.03479858,2552617,36.78094389,1346783,19.4059469,330409,4.760900241
Gobierno Federal,Ciudad de México,2349849,33.8592371,2179587,31.40591289,1317501,18.98401929,524507,7.557680035
Instituciones religiosas,Ciudad de México,1729570,24.9215676,1974107,28.44512859,1849888,26.65524312,879772,12.67673316
Comisiones de Derechos Humanos,Ciudad de México,1476012,21.26802202,2224921,32.05913557,1950779,28.10899283,571503,8.234850656
ONG's,Ciudad de México,1101880,15.87711218,2262687,32.60331009,2215565,31.92432392,559138,8.056681988
Hospitales públicos,Ciudad de México,1157484,16.67831643,2098607,30.23906302,2413485,34.77617534,715483,10.30947458
Universidades públicas,Ciudad de México,1022319,14.73070883,2193181,31.60179036,2245452,32.35496905,459685,6.623652586
Organismos Autónomos Públicos/Descentralizados,Ciudad de México,814025,11.72937728,1961914,28.26943829,2573975,37.0886937,782554,11.27590812
Guardia Nacional,Ciudad de México,960604,13.84145049,1730338,24.9326338,1891944,27.26123273,821329,11.83462144
Ejército y Marina,Ciudad de México,829853,11.95744471,1743534,25.12277644,2415151,34.80018092,1137493,16.39026388
Escuelas públicas de nivel básico,Ciudad de México,631726,9.1026106,1555508,22.41348877,2968496,42.77339092,1000943,14.42269965
Compañeros de trabajo,Ciudad de México,450770,6.495195354,1179106,16.98987025,2085932,30.05642752,1361479,19.61770321
Vecinos,Ciudad de México,477768,6.884212556,1148091,16.54297165,2705686,38.98653224,1862805,26.84136562
Familiares,Ciudad de México,296928,4.278468767,824121,11.87485168,2323637,33.48154546,3137428,45.20755101
,,,,,,,,,
Durango,672208,,,,,,,,
Policías,Durango,375442,55.8520577,213597,31.7754326,62253,9.260972794,9799,1.457733321
Partidos políticos,Durango,300770,44.74359127,261999,38.97588246,75131,11.17674886,19030,2.830968986
Cámaras de Diputados y Senadores,Durango,214753,31.94740318,269658,40.11526194,106856,15.8962702,31394,4.670280627
Ministerio Público,Durango,211843,31.51450146,262805,39.09578583,127176,18.91914407,33868,5.038321472
Gobiernos Estatales,Durango,178757,26.59251303,270462,40.23486778,151061,22.47235975,28662,4.263858806
Gobierno Federal,Durango,212738,31.64764478,227448,33.83595554,144464,21.49096708,50568,7.522671554
Jueces y Magistrados,Durango,150037,22.32002594,285706,42.50261824,139186,20.70579344,35043,5.213118559
Gobiernos Municipales,Durango,153576,22.84649989,273072,40.62314046,145645,21.66665675,40199,5.980143051
Sindicatos,Durango,174363,25.93884631,238110,35.42207174,138415,20.5910968,60931,9.064307476
Empresarios,Durango,148575,22.10253374,247092,36.7582653,186656,27.76759574,31429,4.675487349
Institutos electorales,Durango,123053,18.30579225,236279,35.14968581,196688,29.25999096,76721,11.41328279
Medios de comunicación,Durango,116880,17.38747531,237575,35.34248328,201309,29.94742699,75054,11.16529408
Universidades públicas,Durango,126034,18.74925618,227570,33.85410468,212479,31.60911504,38954,5.794932521
Hospitales públicos,Durango,111755,16.62506248,209191,31.11998072,237253,35.29458144,72334,10.76065742
Comisiones de Derechos Humanos,Durango,60824,9.048389784,183668,27.32309047,255008,37.93587699,117446,17.47167543
Escuelas públicas de nivel básico,Durango,50878,7.568788232,183709,27.32918977,302909,45.06179635,103538,15.40267298
Instituciones religiosas,Durango,60929,9.064009949,159855,23.78058577,252099,37.50312403,162074,24.11069193
Guardia Nacional,Durango,55005,8.182735106,161352,24.0032847,212548,31.61937972,123592,18.38597577
ONG's,Durango,42673,6.348183895,152170,22.63733844,263067,39.13476186,142938,21.26395401
Ejército y Marina,Durango,42050,6.255504249,137076,20.39190251,269273,40.057988,162574,24.18507367
Compañeros de trabajo,Durango,44270,6.58575917,134830,20.05777973,175819,26.15544593,133059,19.79431962
Familiares,Durango,42345,6.299389475,125697,18.69912289,228464,33.98709923,250463,37.25974698
Organismos Autónomos Públicos/Descentralizados,Durango,30185,4.490425583,125902,18.7296194,276715,41.16508581,161240,23.98662319
Vecinos,Durango,35597,5.295533525,93120,13.85285507,240646,35.79933592,236714,35.21439792
,,,,,,,,,
Guanajuato,1846759,,,,,,,,
Policías,Guanajuato,931358,50.43202714,581366,31.48033934,215350,11.6609693,44473,2.40816479
Partidos políticos,Guanajuato,750781,40.65397813,696858,37.73410607,191480,10.36843465,96496,5.225153905
Cámaras de Diputados y Senadores,Guanajuato,662592,35.87863928,641471,34.73496,228877,12.3934417,91310,4.944337621
