"Entidad federativa  
   Diversas instituciones y    
   sectores",,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Medios de comunicación,Durango,156170,24.29190731,217187,33.78297031,160914,25.0298263,65386,10.17065154
Universidades públicas,Durango,123163,19.15773952,211812,32.94690063,171727,26.71176517,36330,5.651053292
Hospitales públicos,Durango,111221,17.30018712,189523,29.47989466,231222,35.96608435,79857,12.42158444
Escuelas públicas,Durango,76260,11.86207883,156287,24.31010641,249617,38.827387,104844,16.3082585
Comisiones de derechos humanos,Durango,84663,13.1691474,146783,22.83177967,220711,34.33112092,94635,14.72027053
Ejército y Marina,Durango,83626,13.00784428,146523,22.79133723,229591,35.71238581,113263,17.61781583
Instituciones religiosas,Durango,75190,11.69564264,132736,20.64679906,211426,32.88685916,166289,25.86589598
Compañeros del trabajo,Durango,62538,9.727651274,131379,20.43572063,193603,30.11452988,106935,16.63350905
Familiares,Durango,46434,7.222708741,104084,16.19004214,231234,35.96795092,237069,36.87557261
Vecinos,Durango,37993,5.909729362,75220,11.70030907,205059,31.89648602,271018,42.15626648
,,,,,,,,,
Guanajuato,1728037,,,,,,,,
Policías,Guanajuato,929006,51.19567865,707801,39.0055097,141819,7.815363895,28268,1.557793431
Partidos políticos,Guanajuato,941313,51.87389302,634836,34.98455322,186525,10.27902291,28752,1.584465711
Diputados y Senadores,Guanajuato,855098,47.12275531,718729,39.60773011,182566,10.06085027,19871,1.09505141
Gobierno Federal,Guanajuato,848725,46.77155192,667549,36.78730179,229565,12.65087197,29803,1.642384237
Gobiernos Estatales,Guanajuato,671979,37.03143031,802138,44.20423472,271011,14.93487886,31007,1.70873429
Gobiernos Municipales,Guanajuato,628095,34.61307008,801291,44.15755823,299983,16.53146833,52405,2.887935643
Ministerio Público,Guanajuato,569997,31.41140449,778204,42.88527944,343718,18.94161746,63154,3.48029172
Institutos electorales,Guanajuato,451132,24.86099003,816704,45.0069381,424320,23.38343387,74041,4.080252703
Jueces y magistrados,Guanajuato,419485,23.11698661,812591,44.78027882,439143,24.20030001,67354,3.711745392
Medios de comunicación,Guanajuato,437822,24.12750232,777852,42.86588141,466018,25.68132797,77032,4.245080783
Empresarios,Guanajuato,372051,20.50299292,821763,45.28572956,480976,26.50563369,51235,2.823459263
Sindicatos,Guanajuato,460116,25.35608045,728914,40.16900527,340980,18.79073171,72403,3.989985771
Hospitales públicos,Guanajuato,282781,15.58350022,662086,36.48624669,601021,33.12107562,188457,10.3854916
Comisiones de derechos humanos,Guanajuato,248107,13.67268483,676940,37.30482118,599318,33.02722667,197021,10.85743666
Ejército y Marina,Guanajuato,253094,13.94750851,654609,36.07420405,599284,33.02535299,192472,10.60675029
Escuelas públicas,Guanajuato,230385,12.69606055,646418,35.62281428,654472,36.06665425,217721,11.99817262
Instituciones religiosas,Guanajuato,208481,11.48897454,577555,31.82791089,640185,35.27932601,330105,18.19143203
Universidades públicas,Guanajuato,150205,8.277499727,499018,27.49989254,650085,35.82489538,187864,10.35281255
Compañeros del trabajo,Guanajuato,140147,7.72322329,478561,26.37254783,502666,27.70092659,242949,13.38843768
Vecinos,Guanajuato,109069,6.010576331,474477,26.14748669,711474,39.20792145,366503,20.19725364
Familiares,Guanajuato,84404,4.651337086,330417,18.20862573,713431,39.31576784,636747,35.08986464
,,,,,,,,,
Guerrero,714091,,,,,,,,
