"Entidad federativa  
   Diversos sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Muy frecuente,Absolutos,Frecuente,Absolutos,Poco frecuente,Absolutos, Nunca
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Universidades públicas,Chiapas,184410,25.5186834,295757,40.92689792,198706,27.49696602,16659,2.305274913
Empresarios,Chiapas,171853,23.78104386,306550,42.42043487,196382,27.17537055,18267,2.527790194
Hospitales públicos,Chiapas,204531,28.30303039,245798,34.01356402,225987,31.27211488,28250,3.909239227
Comisiones de derechos humanos,Chiapas,123310,17.06365625,271093,37.51388991,247967,34.31371057,51262,7.093643231
Escuelas públicas,Chiapas,130891,18.11271617,253278,35.04864754,274492,37.98424404,47384,6.557005011
Ejército y Marina,Chiapas,144915,20.05335939,155504,21.51866679,309983,42.89549393,86568,11.97929279
Compañeros del trabajo,Chiapas,72884,10.08569883,166050,22.97802385,308338,42.66785858,130703,18.0867007
Instituciones religiosas,Chiapas,63525,8.790599006,160724,22.24101117,320411,44.33852213,167242,23.14297299
Vecinos,Chiapas,46782,6.473700161,115720,16.01335092,310437,42.95831852,218839,30.28297357
Familiares,Chiapas,28999,4.01288596,90635,12.54208486,320859,44.40051643,268620,37.1716758
,,,,,,,,,
Chihuahua,1819279,,,,,,,,
Policías,Chihuahua,1102433,60.59724759,486637,26.74889338,143929,7.911320913,35477,1.950058237
Partidos políticos,Chihuahua,939389,51.63523572,589970,32.42878085,150032,8.246783479,55157,3.031805457
Gobiernos Estatales,Chihuahua,931560,51.2049004,561461,30.86173149,175615,9.652999897,69388,3.814038419
Gobierno Federal,Chihuahua,953982,52.43736667,491237,27.0017408,196590,10.80592916,65704,3.611540616
Gobiernos Municipales,Chihuahua,735387,40.42189241,671491,36.90973182,228275,12.54755318,94358,5.18656017
Diputados y Senadores,Chihuahua,812760,44.67484097,584332,32.11887786,203834,11.20410888,74519,4.096073225
Ministerio Público,Chihuahua,718560,39.49696556,599273,32.94013727,279467,15.36141515,107370,5.901788566
Empresarios,Chihuahua,651065,35.78697935,663764,36.48500312,272510,14.97901092,61868,3.400687855
Jueces y magistrados,Chihuahua,579063,31.82925763,616393,33.88116941,341348,18.76281758,106196,5.837257507
Sindicatos,Chihuahua,580341,31.89950524,564261,31.01563861,337647,18.55938534,174443,9.588578772
Medios de comunicación,Chihuahua,554942,30.50340272,585969,32.20885856,373136,20.51010318,192331,10.57182543
Institutos electorales,Chihuahua,625993,34.40885098,493336,27.11711618,379477,20.85864785,200830,11.03898852
Hospitales públicos,Chihuahua,433336,23.81910636,601019,33.03610936,479767,26.37127126,176795,9.717860757
Universidades públicas,Chihuahua,319404,17.55662545,646019,35.50961672,478560,26.30492629,120534,6.625371919
Escuelas públicas,Chihuahua,353193,19.41389968,593778,32.63809454,547265,30.08142237,229579,12.61922993
Comisiones de derechos humanos,Chihuahua,266903,14.6708119,611291,33.60072864,508286,27.93887029,258143,14.18930247
Ejército y Marina,Chihuahua,404793,22.25018812,469187,25.78972219,449631,24.71479086,256615,14.10531315
Compañeros del trabajo,Chihuahua,262418,14.42428566,453982,24.95395154,550058,30.23494472,249820,13.73181354
Instituciones religiosas,Chihuahua,198770,10.92575685,470617,25.86832476,595578,32.73703484,431841,23.73693095
Vecinos,Chihuahua,189016,10.38961039,312584,17.18175167,558998,30.72634819,568987,31.27541185
Familiares,Chihuahua,136153,7.483898841,345885,19.01220209,654951,36.00058045,554203,30.46278223
,,,,,,,,,
Ciudad de México,7156090,,,,,,,,
Partidos políticos,Ciudad de México,5218723,72.92701741,1629056,22.76461028,247426,3.457558527,28792,0.40234262
