"entidad","year","pib_total","pib_primarias","pib_secundarias","pib_terciarias","pib_salud","pib_educacion","pob_tot","year_real"
"Puebla","2019",0.09058077283079949,0.003703087124681656,0.03152052670417382,0.05535715900194401,0.0019275350364970157,0.004659246199233877,6583278,2020
"Querétaro","2019",0.17022043879015414,0.004141953001667323,0.06831907432106928,0.09775941146741754,0.0024843259374101477,0.005167502861555597,2368467,2020
"Quintana Roo","2019",0.15622931993530625,0.0011305435727414375,0.017622568535268047,0.13747620782729678,0.003106300642900777,0.004128255610244431,1857985,2020
"San Luis Potosí","2019",0.13064049952963144,0.005095613613936374,0.05117168895085667,0.0743731969648384,0.0028943883525762203,0.005701319335070714,2822255,2020
"Sinaloa","2019",0.13181794041050657,0.01586786635889741,0.025399933199931415,0.09055014085167774,0.002693054675955246,0.006819001216739133,3026943,2020
"Sonora","2019",0.19711786786378888,0.013758590959101345,0.08648328805639695,0.09687598884829057,0.003565467733391288,0.005912914793333424,2944840,2020
"Tabasco","2019",0.18650257762638608,0.0035894918750452635,0.11077628300697827,0.07213680274436257,0.003436140794256884,0.004888754589823183,2402598,2020
"Tamaulipas","2019",0.14677127306898052,0.004268660486119281,0.05367688049130674,0.08882573209155449,0.003801782163342768,0.006166211464296496,3527735,2020
"Tlaxcala","2019",0.0773081080316342,0.002543111311660587,0.029535181168404225,0.04522981555156939,0.0020229869908419875,0.004597929078457784,1342977,2020
"Veracruz de Ignacio de la Llave","2019",0.09941058586836793,0.005306449214327078,0.031001387645317954,0.06310274900872288,0.0025364708984556925,0.005177592430412155,8062579,2020
"Yucatán","2019",0.11393894518414854,0.004302765136597989,0.030266478750897285,0.07936970129665327,0.0031499635055051967,0.005297736910454488,2320898,2020
"Zacatecas","2019",0.0935504303579597,0.007782993185536619,0.02974619915198337,0.05602123802043969,0.0024891889592624054,0.006067705090442368,1622138,2020
