"entidad","pob_18","Muy_frecuente","Frecuente","Poco_frecuente","Nunca","Diputados_y_Senadores_Frecuente","Diputados_y_Senadores_Muy_frecuente","Diputados_y_Senadores_Nunca","Diputados_y_Senadores_Poco_frecuente","Ejército_y_Marina_Frecuente","Ejército_y_Marina_Muy_frecuente","Ejército_y_Marina_Nunca","Ejército_y_Marina_Poco_frecuente","Gobierno_Federal_Frecuente","Gobierno_Federal_Muy_frecuente","Gobierno_Federal_Nunca","Gobierno_Federal_Poco_frecuente","Gobiernos_Estatales_Frecuente","Gobiernos_Estatales_Muy_frecuente","Gobiernos_Estatales_Nunca","Gobiernos_Estatales_Poco_frecuente","Gobiernos_Municipales_Frecuente","Gobiernos_Municipales_Muy_frecuente","Gobiernos_Municipales_Nunca","Gobiernos_Municipales_Poco_frecuente","Ministerio_Publico_Frecuente","Ministerio_Publico_Muy_frecuente","Ministerio_Publico_Nunca","Ministerio_Publico_Poco_frecuente","Policias_Frecuente","Policias_Muy_frecuente","Policias_Nunca","Policias_Poco_frecuente","contacto","pob_usuario","tramites","year"
"Zacatecas",267099,40.97918749,48.14244905,8.208941254,0.430551968,38.16974231,38.5078192,2.766764383,10.17787412,24.75299421,11.08053568,16.07493851,34.3909936,33.60177313,43.40974695,2.485969622,12.46129712,37.03608025,42.92715435,2.241865376,12.79413251,40.21916967,34.90877914,2.837899056,16.48639643,36.9480979,28.27116537,6.464269803,18.40590942,30.77922418,58.36974305,0.280420368,7.099240357,6809.916898,216963,13252.02915,2015
"Aguascalientes",589392,34.57138882,49.12044955,12.85443304,1.238055488,31.67857725,49.37121644,1.501377691,8.687427043,20.97483508,7.536580069,17.69586286,37.67390803,32.37081603,46.39119635,2.821042702,9.949914488,37.70037598,39.58723566,2.021744442,12.93146157,41.48868665,26.28776773,5.216053153,19.34586828,36.16608301,32.81500258,4.98496756,18.04401824,33.525226,51.90925564,1.178332926,11.02271493,14555.83608,469365,24442.59798,2017
"Baja California",1883544,51.77675701,36.92921429,8.293620961,1.414992164,36.7783816,47.53693038,1.0607663,7.817868868,29.221457,15.49589497,13.36400955,31.15732895,26.68453723,62.23369351,1.096496817,5.796572844,35.73226853,50.90122662,1.249346976,8.598631091,35.26957693,48.0131603,1.192857719,11.14574441,45.05411076,32.62212085,1.956365235,14.38230272,29.48022451,61.74557111,0.372276942,7.180187986,13756.76836,1399711,19467.44721,2017
"Baja California Sur",201960,42.54406813,46.93008517,7.848583878,0.982372747,31.6691424,50.34858388,1.886017033,10.5976431,22.11675579,12.79609824,11.48742325,48.41701327,28.27391563,56.57060804,1.378985938,8.378886908,29.75589226,54.76926124,2.439591998,9.508318479,34.8479897,47.89116657,2.164289958,11.53693801,40.88928501,35.32778768,2.216775599,17.2667855,30.41295306,60.38968112,1.326995445,5.830362448,11904.48449,163073,22469.07827,2017
"Campeche",330143,31.72685776,51.88660671,15.03257679,0.834183975,34.81339904,46.69128226,2.143616554,10.90345699,24.10712933,8.77347089,14.86779971,42.01724707,34.13399648,47.71841293,1.605667847,11.81063963,37.73152846,36.03832279,3.701426352,19.30072726,42.72421345,33.3958315,2.704888488,16.93326831,41.36268223,30.03304629,2.81544664,20.38177396,35.44615515,53.90149117,1.179185989,9.094543879,12708.49733,268049,27697.54784,2017
"Coahuila de Zaragoza",1552128,50.61418904,35.24071468,10.95573303,1.912857702,25.98026709,50.43759278,2.296717796,9.323200148,19.14958045,12.716026,19.38313077,30.94499938,25.61850569,53.29676418,2.984740949,9.717497526,27.65693293,52.54734146,2.710601188,11.2787734,32.78421625,38.6555748,4.777505463,16.47145081,30.78541203,40.55503154,5.026647287,13.76593941,25.3929444,64.49622712,1.202284863,7.047421347,11271.61111,1245829,22454.6868,2017
"Colima",315507,42.74168243,42.30809459,12.32333989,1.407892693,31.71245012,48.47404337,2.563809995,12.34584336,23.21279718,13.01999639,17.10009604,39.75157445,27.43077016,54.40006085,2.686152764,11.98927441,32.10768699,46.15079856,3.444931491,15.6174031,35.76085475,37.38332272,3.950150076,19.3453711,32.63826159,35.74785979,5.176430317,21.32282327,36.50156732,44.38094876,2.266193777,14.99998415,10646.46062,255963,12601.03999,2017
"Chiapas",732976,52.27933793,37.55566349,8.070796315,0.475049661,29.21541769,55.58926895,1.626929122,5.915609788,24.37160289,12.95513086,12.78009103,38.18228701,26.74193971,59.4592456,1.549163956,7.455360066,29.68719303,54.4283851,1.73170745,11.04142564,30.93866648,52.00606841,2.013708498,12.03982122,32.26913296,39.74222894,3.684568117,19.02872673,30.92597848,57.20214577,1.729933859,8.13519133,16183.73615,554186,21173.03577,2017
"Chihuahua",1862946,44.12473577,43.24285299,10.80278226,0.484394073,32.68972906,50.31477026,2.349397138,8.045214408,27.77326879,19.66143946,12.22279121,28.76095174,29.599355,53.85389593,2.514672996,9.951925606,33.00321104,47.20990302,2.408604436,12.88147912,36.4189837,35.49920395,5.27728662,17.85950854,36.84680071,37.35282719,4.532981632,14.42500212,32.31446322,57.26269038,0.980167971,7.063543441,15633.43193,1416490,40672.86038,2017
"Ciudad de México",6909104,68.26836012,28.01865481,2.952828616,0.457700449,24.27249612,68.26407592,0.489035916,3.972222737,29.17664867,22.26227887,8.861221368,33.33427895,20.96030108,71.27222285,0.801637955,4.261999819,28.71525743,62.12459676,1.12645576,6.077546379,31.74761879,56.27045128,1.921696359,7.23815997,25.33361779,66.22591005,1.021492801,5.506401409,24.62804149,69.45915129,0.402425553,4.6972661,20092.55699,4525860,34110.84302,2017
