"entidad","year","corrupcion","camara","federal","estatal","municipal","ejercito","ministerio","policia","contacto","tramites","pib_total","pib_primarias","pib_secundarias","pib_terciarias","pib_salud","pib_educacion","wjp_corrupcion","wjp_edoderecho","year_wjp","escolaridad","year_esc","exportaciones","inversion","irs","year_real","habla_indigena","year_li"
"Coahuila de Zaragoza",2017,85.85490372000001,76.41785987,78.91526987,80.20427439,71.43979105,31.865606449999998,71.34044357,89.88917152,0.009047478514306538,0.018023891561361954,0.20363430149429004,0.0044138904164756,0.1041262516857507,0.09509415939206373,0.00310966339133274,0.00567588137053011,0.35285803730841886,0.42674261024692023,2018,9.897388249,2015,38950677,2648149501,-1.064973,2015,0.198435,2015
"Colima",2017,85.04977702,80.18649349,81.83083101,78.25848554999999,73.14417747,36.23279357,68.38612137999999,80.88251608,0.04159374839332247,0.04922992772392885,0.14346795222394848,0.00677219484417949,0.03520145521522423,0.10149430216454478,0.00343516699824952,0.00701379853353673,0.3670997394776366,0.3901314141384946,2018,9.528720419,2015,133681,496086741,-0.6576504,2015,0.633929,2015
"Chiapas",2017,89.83500142,84.80468664,86.20118531,84.11557813,82.94473488999999,37.32673375,72.0113619,88.12812425,0.029202715604508236,0.03820564895179596,0.05319772502696483,0.00364572200199773,0.01154932819819743,0.03800267482676966,0.00197654788087486,0.0049844548811516,0.3233370620354194,0.3923608041897381,2018,7.288581208,2015,606132,4758641934,2.387669,2015,27.935572,2015
"Chihuahua",2017,87.36758876,83.00449932000001,83.45325093,80.21311406,71.91818765,47.43470825,74.1996279,89.5771536,0.011036740061701814,0.028713835170032967,0.15506420026688603,0.00975101319415819,0.06168756927312633,0.08362561779960152,0.00321173888129418,0.00540343515979141,0.3581584918538866,0.385449906557238,2018,9.466590559,2015,46491551,733032509,-0.5871851,2015,2.674611,2015
"Ciudad de México",2017,96.28701493,92.53657204,92.23252393000001,90.83985419000001,88.01807007000001,51.438927539999995,91.55952784,94.08719278,0.004439500335847773,0.007536875426990671,0.3414798018265763,1.2818583703166832e-4,0.03383561867470346,0.30751599731484114,0.00938791328690554,0.01062734832266711,0.2682717141958817,0.3665220684758194,2018,11.11958711,2015,2630544,7793540726,-1.313332,2015,1.504583,2015
"Durango",2017,83.85988873,80.15318352,79.78204636,67.81139513,65.267565630000007,35.79918151,69.74221055,88.17074176,0.03024140555846246,0.0881683285322191,0.11372494948009806,0.01139354804149185,0.03359920421893895,0.06873219721966725,0.00264204612156461,0.00579596798183677,0.3237535442613409,0.418236481506409,2018,9.147609659,2015,1672357,1577572025,-0.0325487,2015,2.407331,2015
"Guanajuato",2017,90.81999628,86.73048542000001,83.55885371,81.23566503,78.77062831,50.02171256,74.29668393,90.20118835,0.0072944509241575865,0.010773370385312384,0.12029694378422316,0.00429198860818593,0.04490444689722375,0.07110050827881347,0.00256052477784476,0.00424018270909037,0.41656359708265456,0.4083260830762374,2018,8.381850681,2015,23360291,3741493231,-0.0584027,2015,0.227985,2015
"Guerrero",2017,92.34168032,83.00029178,85.04398945,83.35164266999999,82.21583674,36.16238246,78.68659583,89.852239,0.024689607422579373,0.039019351835714866,0.06625461423487887,0.00371936610221011,0.01178996482276521,0.05074528330990354,0.00206448055912246,0.00467853401867005,0.2755213677260397,0.29111818782110144,2018,7.802707422,2015,236957,1363910222,2.45145,2015,15.318964,2015
"Hidalgo",2017,81.96761593000001,82.61123563999999,78.47045667,74.85244635000001,72.86943571,35.35570833,73.87485646,84.76875323,0.03988164019504232,0.07477564045087547,0.09450110115629282,0.00365258352782138,0.03037429133289415,0.06047422629557728,0.00205261760331714,0.00538381812781389,0.376085892316051,0.42336554473444754,2018,8.715456678,2015,1788933,270215462,0.4495519,2015,14.222953,2015
"Jalisco",2017,91.69360872,84.56014618,85.78864687000001,82.39189105,77.44029181,36.211164520000004,79.39531018,90.84392133,0.005362098892307242,0.009679526504390981,0.14998617356908944,0.00859231251665109,0.04619828778953782,0.09519557326290054,0.00302840125279961,0.00496933509075403,0.31061267450184327,0.36865220541608146,2018,9.249860796,2015,18687649,2097576485,-0.6917049,2015,0.766556,2015
"Estado de México",2017,93.40755406,91.81771864999999,89.17797313,90.00657805,88.10530603000001,37.56403589,89.62254263,94.55010817,0.0022828299528460353,0.0030328254447639343,NA,NA,NA,NA,NA,NA,0.2833938384717877,0.35524781178532444,2018,9.528067379,2015,18601992,23915792100,-0.4795274,2015,2.739034,2015
"Michoacán de Ocampo",2017,89.95606857,83.06280096,83.42907822000001,82.28135286,75.64990252,32.67062102,79.81058892,87.1373473,0.022981407906753556,0.04137055957153692,0.09049170253230962,0.01164878914055733,0.01489773454778097,0.06394517884397131,0.00205105888989154,0.00584745044739076,0.347145212658906,0.3956345793960175,2018,7.926166956,2015,1272574,1272093967,0.6252466,2015,3.558948,2015
"Morelos",2017,93.10866852999999,86.5239768,85.25530656,88.3406273,82.22715593999999,38.64899945,77.94632672,90.13235749,0.029720074813784917,0.05121361911037664,0.10675350862034098,0.00318202594690334,0.0335751096090946,0.06999637306434305,0.00361384086970817,0.00536296880310072,0.3567399257666781,0.3652746021904162,2018,9.303000614,2015,3490782,1381225179,-0.2088349,2015,1.980698,2015
"Nayarit",2017,93.55995256,85.03207893000001,90.99431204999999,84.69309359,83.55415678,38.01151067,75.47410772,89.3944091,0.048086931016461984,0.0942412051650553,0.10245130519453027,0.00709460310740442,0.01932535794420219,0.07603134414292367,0.00266850683713644,0.00591608907328224,0.3543336382935922,0.3690897205548055,2018,9.158921469,2015,124554,821447392,0.0126394,2015,5.41305,2015
"Nuevo León",2017,89.80283621000001,80.68224589,82.04240057999999,81.31747829,73.99579591,28.814137856,67.62663455,87.13739554,0.005850595843773331,0.00964081559548693,0.25521009398566735,0.00118723102863089,0.08885535083086174,0.16516751212617473,0.00397460496173066,0.00598602735733774,0.38978445267171696,0.4172999765073966,2018,10.27495586,2015,36004726,1217265021,-1.360326,2015,1.217869,2015
"Oaxaca",2017,94.3466431,89.84907328,91.17779502,90.67526971000001,84.8464412,41.942999220000004,83.22068619999999,90.60867506,0.029774533447191585,0.0659196691726123,0.06313649903008879,0.00380366739089727,0.01397597563843141,0.0453568560007601,0.00157756807209072,0.00547543996316429,0.3384747859776521,0.3870106758165891,2018,7.51576302,2015,603681,1260144314,2.539013,2015,32.153007,2015
